Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2024-06-17 09:51:27,"Chest / Tris (V1)",1h 25m,"High To Low Chest Cable Fly ",4,25.000000000000004,11,0,0,,,9
2024-06-17 09:51:27,"Chest / Tris (V1)",1h 25m,"Bench Dip",1,15.0,19,0,0,"",,8
2024-06-17 09:51:27,"Chest / Tris (V1)",1h 25m,"Bench Dip",2,15.0,19,0,0,,,8
2024-06-17 09:51:27,"Chest / Tris (V1)",1h 25m,"Bench Dip",3,15.0,19,0,0,,,8.5
2024-06-17 09:51:27,"Chest / Tris (V1)",1h 25m,"Push Up",1,0,16,0,0,"",,
2024-06-17 09:51:27,"Chest / Tris (V1)",1h 25m,"Push Up",2,0,12,0,0,,,
2024-06-17 09:51:27,"Chest / Tris (V1)",1h 25m,"Push Up",3,0,12,0,0,,,
2024-06-18 09:52:02,"Back / Bis (V1)",1h 15m,"Bent Over Row (Barbell)",1,125.00000000000001,12,0,0,"Was having weird forearm soreness this time. Bit weaker than usual. ","",8
2024-06-18 09:52:02,"Back / Bis (V1)",1h 15m,"Bent Over Row (Barbell)",2,125.00000000000001,11,0,0,,,8
2024-06-18 09:52:02,"Back / Bis (V1)",1h 15m,"Bent Over Row (Barbell)",3,115.0,13,0,0,,,8.5
2024-06-18 09:52:02,"Back / Bis (V1)",1h 15m,"Bent Over Row (Barbell)",4,115.0,12,0,0,,,9
2024-06-18 09:52:02,"Back / Bis (V1)",1h 15m,"Bicep Curl (Dumbbell)",1,30.0,8,0,0,"Same thing with forearm issue. Probably gonna affect the whole workout today. ",,8
2024-06-18 09:52:02,"Back / Bis (V1)",1h 15m,"Bicep Curl (Dumbbell)",2,30.0,8,0,0,,,8.5
2024-06-18 09:52:02,"Back / Bis (V1)",1h 15m,"Bicep Curl (Dumbbell)",3,30.0,7,0,0,,,8.5
2024-06-18 09:52:02,"Back / Bis (V1)",1h 15m,"Bicep Curl (Dumbbell)",4,30.0,7,0,0,,,9.5
2024-06-18 09:52:02,"Back / Bis (V1)",1h 15m,"Kneeling Cable Row",1,50.00000000000001,14,0,0,"",,8
2024-06-18 09:52:02,"Back / Bis (V1)",1h 15m,"Kneeling Cable Row",2,50.00000000000001,14,0,0,,,8.5
2024-06-18 09:52:02,"Back / Bis (V1)",1h 15m,"Kneeling Cable Row",3,50.0,14,0,0,,,9
2024-06-18 09:52:02,"Back / Bis (V1)",1h 15m,"Kneeling Cable Row",4,50.0,14,0,0,,,9
2024-06-18 09:52:02,"Back / Bis (V1)",1h 15m,"Hammer Curl (Cable)",1,40.0,12,0,0,"",,8
2024-06-18 09:52:02,"Back / Bis (V1)",1h 15m,"Hammer Curl (Cable)",2,40.0,13,0,0,,,8.5
2024-06-18 09:52:02,"Back / Bis (V1)",1h 15m,"Hammer Curl (Cable)",3,40.0,13,0,0,,,9
2024-06-18 09:52:02,"Back / Bis (V1)",1h 15m,"Hammer Curl (Cable)",4,40.0,14,0,0,,,10
2024-06-18 09:52:02,"Back / Bis (V1)",1h 15m,"Chin Up",1,0,7,0,0,"",,
2024-06-18 09:52:02,"Back / Bis (V1)",1h 15m,"Chin Up",2,0,6,0,0,,,
2024-06-18 09:52:02,"Back / Bis (V1)",1h 15m,"Chin Up",3,0,6,0,0,,,
2024-06-18 09:52:02,"Back / Bis (V1)",1h 15m,"Chin Up",4,0,5,0,0,,,
2024-06-18 09:52:02,"Back / Bis (V1)",1h 15m,"Zotterman Curls",1,15.0,14,0,0,"",,9
2024-06-18 09:52:02,"Back / Bis (V1)",1h 15m,"Zotterman Curls",2,15.0,14,0,0,,,9
2024-06-18 09:52:02,"Back / Bis (V1)",1h 15m,"Zotterman Curls",3,15.0,14,0,0,,,10
2024-06-20 10:03:07,"Morning Workout",59m,"Deadlift (Barbell)",1,115.0,10,0,0,"","",7.5
2024-06-20 10:03:07,"Morning Workout",59m,"Deadlift (Barbell)",2,115.0,12,0,0,,,8
2024-06-20 10:03:07,"Morning Workout",59m,"Deadlift (Barbell)",3,125.00000000000001,11,0,0,,,8.5
2024-06-20 10:03:07,"Morning Workout",59m,"Deadlift (Barbell)",4,125.00000000000001,12,0,0,,,
2024-06-20 10:03:07,"Morning Workout",59m,"Bulgarian Split Squat",1,30.0,15,0,0,"",,8
2024-06-20 10:03:07,"Morning Workout",59m,"Bulgarian Split Squat",2,30.0,16,0,0,,,8
2024-06-20 10:03:07,"Morning Workout",59m,"Bulgarian Split Squat",3,30.0,16,0,0,,,8.5
2024-06-20 10:03:07,"Morning Workout",59m,"Bulgarian Split Squat",4,30.0,16,0,0,,,9
2024-06-20 10:03:07,"Morning Workout",59m,"Standing Calf Raise (Dumbbell)",1,74.99999999999999,16,0,0,"",,7.5
2024-06-20 10:03:07,"Morning Workout",59m,"Standing Calf Raise (Dumbbell)",2,74.99999999999999,18,0,0,,,8
2024-06-20 10:03:07,"Morning Workout",59m,"Standing Calf Raise (Dumbbell)",3,74.99999999999999,18,0,0,,,9
2024-06-20 10:03:07,"Morning Workout",59m,"Standing Calf Raise (Dumbbell)",4,74.99999999999999,18,0,0,,,9
2024-06-20 10:03:07,"Morning Workout",59m,"Cable Pull Through",1,40.0,14,0,0,"",,
2024-06-20 10:03:07,"Morning Workout",59m,"Cable Pull Through",2,40.0,14,0,0,,,
2024-06-20 10:03:07,"Morning Workout",59m,"Cable Pull Through",3,40.0,14,0,0,,,
2024-06-20 10:03:07,"Morning Workout",59m,"Cable Pull Through",4,40.0,17,0,0,,,8.5
